,ItemId,ItemName,Comment
0,35827,L_R1SDW_SPDREF,R1 Screw Down WS Speed Reference (mps)
1,35828,L_R1SDD_SPDREF,R1 Screw Down DS Speed Reference (mps)
2,35829,L_R1SDL_SPDREF,R1 Screw Down LS Speed Reference (mps)
3,35830,L_R1SDW_SPDFBK,R1 Screw Down WS Speed Feedback (mps)
4,35831,L_R1SDD_SPDFBK,R1 Screw Down DS Speed Feedback (mps)
5,35832,L_R1SDL_SPDFBK,R1 Screw Down LS Speed Feedback (mps)
6,35974,L_R1_ODG_AUX_B07,R1 ODG AUX output B07
7,83528,RM1_RUNDOWN_ID_HS,R! RUNDOWN ID
8,83530,L_R1SD_WS_GAP,R1 SCREW DOWN WORK SIDE GAP (MM)
9,83531,L_R1SD_DS_GAP,R1 SCREW DOWN DRIVE SIDE GAP (MM)
10,83532,L_R1SD_WS_SPDREF,R1 SCREW DOWN WS SPD REF (MPS)
11,83533,L_R1SD_DS_SPDREF,R1 SCREW DOWN DS SPD REF (MPS)
12,83534,L_R1SDLS_SPDREF,R1 SCREW DOWN LOW SPEED REF (MPS)
13,83535,L_R1SD_WS_SPDFBK,R1 SCREW DOWN WS SPEED FBK (MPS)
14,83536,L_R1SD_DS_SPDFBK,R1 SCREW DOWN DS SPEED FBK (MPS)
15,83537,L_R1SDLS_SPDFBK,R1 SCREW DOWN LS SPEED FBK (MPS)
16,83538,L_R1SD_WS_CUR,R1 SCREW DOWN WS CURRENT (%)
17,83539,L_R1SD_DS_CUR,R1 SCREW DOWN DS CURRENT (%)
18,83540,L_R1_CNT_PASS0,R1 CONTROL PASS ZERO
